//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas (Hidro)
// Versão Web 2.0
// © 2001 Agência Nacional de Energia Elétrica (ANEEL)
//
// Dia XX - status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da estação: 37030000
//   Ano: 1900 até 2000
//
//------------------------------------------------------------------------------

//Código;Ano;Mês;Dia 01 (m3/s);Dia 02 (m3/s);Dia 03 (m3/s);Dia 04 (m3/s);Dia 05 (m3/s);Dia 06 (m3/s);Dia 07 (m3/s);Dia 08 (m3/s);Dia 09 (m3/s);Dia 10 (m3/s);Dia 11 (m3/s);Dia 12 (m3/s);Dia 13 (m3/s);Dia 14 (m3/s);Dia 15 (m3/s);Dia 16 (m3/s);Dia 17 (m3/s);Dia 18 (m3/s);Dia 19 (m3/s);Dia 20 (m3/s);Dia 21 (m3/s);Dia 22 (m3/s);Dia 23 (m3/s);Dia 24 (m3/s);Dia 25 (m3/s);Dia 26 (m3/s);Dia 27 (m3/s);Dia 28 (m3/s);Dia 29 (m3/s);Dia 30 (m3/s);Dia 31 (m3/s);Dia 01 (m3/s) - status;Dia 02 (m3/s) - status;Dia 03 (m3/s) - status;Dia 04 (m3/s) - status;Dia 05 (m3/s) - status;Dia 06 (m3/s) - status;Dia 07 (m3/s) - status;Dia 08 (m3/s) - status;Dia 09 (m3/s) - status;Dia 10 (m3/s) - status;Dia 11 (m3/s) - status;Dia 12 (m3/s) - status;Dia 13 (m3/s) - status;Dia 14 (m3/s) - status;Dia 15 (m3/s) - status;Dia 16 (m3/s) - status;Dia 17 (m3/s) - status;Dia 18 (m3/s) - status;Dia 19 (m3/s) - status;Dia 20 (m3/s) - status;Dia 21 (m3/s) - status;Dia 22 (m3/s) - status;Dia 23 (m3/s) - status;Dia 24 (m3/s) - status;Dia 25 (m3/s) - status;Dia 26 (m3/s) - status;Dia 27 (m3/s) - status;Dia 28 (m3/s) - status;Dia 29 (m3/s) - status;Dia 30 (m3/s) - status;Dia 31 (m3/s) - status;
37030000;1964;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37030000;1964;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
37030000;1964;3;21,8;110;161;76,6;36,4;27,7;85;133;131;96,1;84;46,4;35,4;37,7;31,5;19,6;13,9;11,1;7,61;7,48;11,5;10,2;8,4;7,48;7,15;6,08;7,49;9,36;8,99;4,65;3,62;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
37030000;1964;4;4,65;9,73;24,5;49,2;54,2;53,2;45,3;29,8;21,2;42,6;49,3;49,3;56,5;97,4;93,2;71;51,1;34,4;23,3;27,5;27,7;27,9;18,9;19,8;76,8;44;40,4;33,1;21,5;16;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
37030000;1964;5;12,8;21;16,7;22,5;71,9;67,4;34,3;21,1;16,1;15,9;15,4;20,3;35,2;27,8;28,5;25,9;45,1;26,2;16,9;16,6;16,3;16;15,8;15,6;15,3;15;14,8;14,6;14,4;14,2;14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
37030000;1964;6;13,8;13,5;13,4;13,2;13;10,5;8,32;6,81;6,23;5,93;5,43;4,71;4,51;4,06;4,13;3,64;3,43;4,19;11,5;5,7;4,65;3,76;3,22;3,06;3,31;3,4;2,81;2,16;1,76;1,53;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
37030000;1964;7;1,32;1,11;0,846;0,771;3,22;2,82;2,74;5,05;5,01;4,1;3,61;2,62;2,16;1,74;1,45;1,18;0,887;0,647;0,398;0,257;0,182;0,096;0,027;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
37030000;1964;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
37030000;1964;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
37030000;1964;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
