 WARNING:  PROBLEM IS POORLY SCALED.  THE UNITS
 OF THE ROWS AND VARIABLES SHOULD BE CHANGED SO
 THE COEFFICIENTS COVER A MUCH SMALLER RANGE.


 LP OPTIMUM FOUND AT STEP   2000
 OBJECTIVE VALUE =  0.000000000E+00


 NEW INTEGER SOLUTION OF   0.000000000E+00 AT BRANCH      0 PIVOT    2000
 BOUND ON OPTIMUM: 0.0000000E+00
 ENUMERATION COMPLETE. BRANCHES=     0 PIVOTS=    2000

 LAST INTEGER SOLUTION IS THE BEST FOUND
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

       FO)     0.0000000E+00

  VARIABLE        VALUE          REDUCED COST
    VI1200         0.000000  465557984.000000
    VI0700         0.000000  196354016.000000
    VI1600         0.000000  366276448.000000
    VI0200         0.000000  150299056.000000
    VI1000         0.000000  306980384.000000
    VI0400         0.000000  339935456.000000
    VI0500         0.000000  ****************
    VI1700         0.000000  ****************
     QM061         0.000000          0.000000
     DM061  13070592.000000          0.000000
     QJ061   8329824.000000          0.000000
     QM031         0.000000          0.000000
     DM031  13392000.000000          0.000000
     QJ031 106546752.000000          0.000000
     QM121         0.000000          0.000000
     SF121         0.000000          0.000000
     SI121         0.000000          0.000000
     PR121         0.000000          0.000000
     EV121         0.000000          0.000000
     DM121  13392000.000000          0.000000
     QJ121  49175424.000000          0.000000
     QM011         0.000000          0.000000
     DM011  13392000.000000          0.000000
     QJ011  35917344.000000          0.000000
     QM151         0.000000          0.000000
     DM151  13392000.000000          0.000000
     QJ151  45613152.000000          0.000000
     QM141         0.000000          0.000000
     DM141  13392000.000000          0.000000
     QJ141  14865120.000000          0.000000
     QM081         0.000000          0.000000
     SF081 100000000.000000          0.000000
     SI081         0.000000          0.000000
     PR081     19546.000000          0.000000
     EV081    516460.000000          0.000000
     DM081  13392000.000000          0.000000
     QJ081  57930448.000000          0.000000
     QM071   8329824.000000          0.000000
     RT061         0.000000          0.000000
     SF071         0.000000          0.000000
     SI071         0.000000          0.000000
     PR071         0.000000          0.000000
     EV071         0.000000          0.000000
     DM071  13392000.000000          0.000000
     QJ071         0.000000          0.000000
     QM091  71322448.000000          0.000000
     RT081  13392000.000000          0.000000
     DM091  10713600.000000          0.000000
     QJ091 104963152.000000          0.000000
     QM161  60478272.000000          0.000000
     RT151         0.000000          0.000000
     RT141         0.000000          0.000000
     SF161         0.000000          0.000000
     SI161         0.000000          0.000000
     PR161         0.000000          0.000000
     EV161         0.000000          0.000000
     DM161  13392000.000000          0.000000
     QJ161 107725248.000000          0.000000
     QM021  35917344.000000          0.000000
     RT011         0.000000          0.000000
     SF021         0.000000          0.000000
     SI021         0.000000          0.000000
     PR021         0.000000          0.000000
     EV021         0.000000          0.000000
     DM021  13392000.000000          0.000000
     QJ021  68593824.000000          0.000000
     QM101 111391312.000000          0.000000
     RT091   6428160.000000          0.000000
