 WARNING:  PROBLEM IS POORLY SCALED.  THE UNITS
 OF THE ROWS AND VARIABLES SHOULD BE CHANGED SO
 THE COEFFICIENTS COVER A MUCH SMALLER RANGE.


 LP OPTIMUM FOUND AT STEP   3232
 OBJECTIVE VALUE =  0.120200781E+10

 FIX ALL VARS.(    4)  WITH RC >  0.000000E+00
 SET   VI1200 TO >=     1 AT    1, BND= -0.1518E+10 TWIN=-0.1202E+10  18669

 NEW INTEGER SOLUTION OF   0.151842291E+10 AT BRANCH      1 PIVOT   18669
 BOUND ON OPTIMUM: 0.1202008E+10
 FLIP   VI1200 TO <=         0 AT    1 WITH BND=  -0.12020431E+10
 DELETE   VI1000 AT LEVEL     2
 DELETE   VI1200 AT LEVEL     1
 RELEASE FIXED VARIABLES
 ENUMERATION COMPLETE. BRANCHES=     2 PIVOTS=   45151

 LAST INTEGER SOLUTION IS THE BEST FOUND
 RE-INSTALLING BEST SOLUTION...

        OBJECTIVE FUNCTION VALUE

       FO)     0.1518423E+10

  VARIABLE        VALUE          REDUCED COST
    VI1200         1.000000  465557984.000000
    VI1600         1.000000  366276448.000000
    VI0200         1.000000  150299056.000000
    VI0700         1.000000  196354016.000000
    VI0400         1.000000  339935456.000000
    VI1000         0.000000  306980384.000000
    VI0500         0.000000  ****************
    VI1700         0.000000  ****************
     QM151         0.000000          0.000000
     DM151  13392000.000000          0.000000
     QJ151  45613152.000000          0.000000
     QM141         0.000000          0.000000
     DM141  13392000.000000          0.000000
     QJ141  14865120.000000          0.000000
     QM081         0.000000          0.000000
     SF081 100000000.000000          0.000000
     SI081 100000000.000000          0.000000
     PR081     19546.000000          0.000000
     EV081   1016460.000000          0.000000
     DM081  13392000.000000          0.000000
     QJ081 157430448.000000          0.000000
     QM011         0.000000          0.000000
     DM011         0.000000          0.000000
     QJ011  49309344.000000          0.000000
     QM061         0.000000          0.000000
     DM061  13392000.000000          0.000000
     QJ061   8008416.000000          0.000000
     QM031         0.000000          0.000000
     DM031  13392000.000000          0.000000
     QJ031 106546752.000000          0.000000
     QM121         0.000000          0.000000
     SF121 ****************          0.000000
     SI121 ****************          0.000000
     PR121     20024.000000          0.000000
     EV121  20016740.000000          0.000000
     DM121  13392000.000000          0.000000
     QJ121  75522528.000000          0.000000
     QM161  87262272.000000          0.000000
     RT151  13392000.000000          0.000000
     RT141  13392000.000000          0.000000
     SF161 958434176.000000          0.000000
     SI161 ****************          0.000000
     PR161     23948.000000          0.000000
     EV161  10069940.000000          0.000000
     DM161  13392000.000000          0.000000
     QJ161 218290976.000000          0.000000
     QM021  62701344.000000          0.000000
     RT011  13392000.000000          0.000000
     SF021 660000000.000000          0.000000
     SI021 570772992.000000          0.000000
     PR021     19533.000000          0.000000
     EV021   6170324.500000          0.000000
     DM021  13392000.000000          0.000000
     QJ021         0.000000          0.000000
     QM071  16959400.000000          0.000000
     RT061   8950984.000000          0.000000
     SF071 863500032.000000          0.000000
     SI071 863500032.000000          0.000000
     PR071     21034.000000          0.000000
     EV071   8650610.000000          0.000000
     DM071  13392000.000000          0.000000
     QJ071         0.000000          0.000000
     QM091 170822448.000000          0.000000
     RT081  13392000.000000          0.000000
     DM091  10713600.000000          0.000000
     QJ091 204463152.000000          0.000000
     QM041 133330752.000000          0.000000
     RT031  13392000.000000          0.000000
     RT021  13392000.000000          0.000000
     SF041 ****************          0.000000
     SI041 ****************          0.000000
     PR041     17796.000000          0.000000
     EV041  14816460.000000          0.000000
     DM041  13392000.000000          0.000000
     QJ041 135406016.000000          0.000000
     QM101 210891312.000000          0.000000
     RT091   6428160.000000          0.000000
     SF101         0.000000          0.000000
     SI101         0.000000          0.000000
     PR101         0.000000          0.000000
     EV101         0.000000          0.000000
     DM101  13392000.000000          0.000000
     QJ101 331392512.000000          0.000000
     QM051 148798016.000000          0.000000
     RT041  13392000.000000          0.000000
     SF051         0.000000          0.000000
     SI051         0.000000          0.000000
     PR051         0.000000          0.000000
     EV051         0.000000          0.000000
     DM051  13392000.000000          0.000000
     QJ051 174135680.000000          0.000000
     QM111 545704192.000000          0.000000
     RT071  13392000.000000          0.000000
     RT101  13392000.000000          0.000000
     RT051  13392000.000000          0.000000
     DM111  13392000.000000          0.000000
     QJ111 696069568.000000          0.000000
     QM131 798376128.000000          0.000000
     RT121  13392000.000000          0.000000
     RT111  13392000.000000          0.000000
     DM131  13392000.000000          0.000000
     QJ131 858586560.000000          0.000000
     QM171 ****************          0.000000
     RT161  13392000.000000          0.000000
     RT131  13392000.000000          0.000000
     SF171         0.000000          0.000000
     SI171         0.000000          0.000000
     PR171         0.000000          0.000000
     EV171         0.000000          0.000000
     DM171  13392000.000000          0.000000
     QJ171 ****************          0.000000
     QM181 ****************          0.000000
     RT171  13392000.000000          0.000000
     DM181 ****************          0.000000
     QJ181         0.000000          0.000000
     QM152         0.000000          0.000000
     DM152         0.000000          0.000000
     QJ152  76059648.000000          0.000000
     QM142         0.000000          0.000000
     DM142         0.000000          0.000000
     QJ142  39553920.000000          0.000000
     QM082         0.000000          0.000000
     SF082 100000000.000000          0.000000
     SI082 100000000.000000          0.000000
     PR082     16231.000000          0.000000
     EV082    814800.062500          0.000000
     DM082  12096000.000000          0.000000
     QJ082 147740304.000000          0.000000
     QM012         0.000000          0.000000
     DM012         0.000000          0.000000
     QJ012  59512320.000000          0.000000
     QM062         0.000000          0.000000
     DM062         0.000000          0.000000
     QJ062  32030208.000000          0.000000
     QM032         0.000000          0.000000
     DM032         0.000000          0.000000
     QJ032 235460736.000000          0.000000
     QM122         0.000000          0.000000
     SF122 ****************          0.000000
     SI122 ****************          0.000000
     PR122     15732.000000          0.000000
     EV122  16014695.000000          0.000000
     DM122  12096000.000000          0.000000
     QJ122         0.000000          0.000000
     QM162 139805568.000000          0.000000
     RT152  12096000.000000          0.000000
     RT142  12096000.000000          0.000000
     SF162 ****************          0.000000
     SI162 958434176.000000          0.000000
     PR162     15173.000000          0.000000
     EV162   8342557.500000          0.000000
     DM162  12096000.000000          0.000000
     QJ162         0.000000          0.000000
     QM022  71608320.000000          0.000000
     RT012  12096000.000000          0.000000
     SF022 660000000.000000          0.000000
     SI022 660000000.000000          0.000000
     PR022     11237.000000          0.000000
     EV022   5294470.500000          0.000000
     DM022  12096000.000000          0.000000
     QJ022  99613280.000000          0.000000
     QM072  44126208.000000          0.000000
     RT062  12096000.000000          0.000000
     SF072 863500032.000000          0.000000
     SI072 863500032.000000          0.000000
     PR072     20135.000000          0.000000
     EV072   6921910.500000          0.000000
     DM072  12096000.000000          0.000000
     QJ072  37732464.000000          0.000000
     QM092 159836304.000000          0.000000
     RT082  12096000.000000          0.000000
     DM092   9676800.000000          0.000000
     QJ092 178464144.000000          0.000000
     QM042 359266016.000000          0.000000
     RT032  12096000.000000          0.000000
     RT022  12096000.000000          0.000000
     SF042 ****************          0.000000
     SI042 ****************          0.000000
     PR042     16356.000000          0.000000
     EV042  11854471.000000          0.000000
     DM042  12096000.000000          0.000000
     QJ042 395860288.000000          0.000000
     QM102 184270224.000000          0.000000
     RT092   5806080.000000          0.000000
     SF102         0.000000          0.000000
     SI102         0.000000          0.000000
     PR102         0.000000          0.000000
     EV102         0.000000          0.000000
     DM102  12096000.000000          0.000000
     QJ102 292142368.000000          0.000000
     QM052 407956288.000000          0.000000
     RT042  12096000.000000          0.000000
     SF052         0.000000          0.000000
     SI052         0.000000          0.000000
     PR052         0.000000          0.000000
     EV052         0.000000          0.000000
     DM052  12096000.000000          0.000000
     QJ052 451526080.000000          0.000000
     QM112 817688896.000000          0.000000
     RT072  12096000.000000          0.000000
     RT102  12096000.000000          0.000000
     RT052  12096000.000000          0.000000
     DM112  12096000.000000          0.000000
     QJ112 ****************          0.000000
     QM132 ****************          0.000000
     RT122  12096000.000000          0.000000
     RT112  12096000.000000          0.000000
     DM132  12096000.000000          0.000000
     QJ132 ****************          0.000000
     QM172 ****************          0.000000
     RT162  12096000.000000          0.000000
     RT132  12096000.000000          0.000000
     SF172         0.000000          0.000000
     SI172         0.000000          0.000000
     PR172         0.000000          0.000000
     EV172         0.000000          0.000000
     DM172  12096000.000000          0.000000
     QJ172 ****************          0.000000
     QM182 ****************          0.000000
     RT172  12096000.000000          0.000000
     DM182 ****************          0.000000
     QJ182 188551744.000000          0.000000
     QM153         0.000000          0.000000
     DM153  13392000.000000          0.000000
     QJ153  58442688.000000          0.000000
     QM143         0.000000          0.000000
     DM143         0.000000          0.000000
     QJ143  40336704.000000          0.000000
     QM083         0.000000          0.000000
     SF083         0.000000          0.000000
     SI083 100000000.000000          0.000000
     PR083      9344.000000          0.000000
     EV083    515970.000000          0.000000
     DM083  13392000.000000          0.000000
     QJ083 236225696.000000          0.000000
     QM013         0.000000          0.000000
     DM013         0.000000          0.000000
     QJ013  24132384.000000          0.000000
     QM063         0.000000          0.000000
     DM063         0.000000          0.000000
     QJ063  21052224.000000          0.000000
     QM033         0.000000          0.000000
     DM033         0.000000          0.000000
     QJ033  82735776.000000          0.000000
     QM123         0.000000          0.000000
     SF123 ****************          0.000000
     SI123 ****************          0.000000
     PR123      4360.000000          0.000000
     EV123  15818341.000000          0.000000
     DM123  13392000.000000          0.000000
     QJ123 120362736.000000          0.000000
     QM163 125563392.000000          0.000000
     RT153  13392000.000000          0.000000
     RT143  13392000.000000          0.000000
     SF163 ****************          0.000000
     SI163 ****************          0.000000
     PR163      4518.000000          0.000000
     EV163   9439566.000000          0.000000
     DM163  13392000.000000          0.000000
     QJ163  17615122.000000          0.000000
     QM023  37524384.000000          0.000000
     RT013  13392000.000000          0.000000
     SF023 660000000.000000          0.000000
     SI023 660000000.000000          0.000000
     PR023      5870.000000          0.000000
     EV023   5294600.500000          0.000000
     DM023  13392000.000000          0.000000
     QJ023  42654628.000000          0.000000
     QM073  34444224.000000          0.000000
     RT063  13392000.000000          0.000000
     SF073 863500032.000000          0.000000
     SI073 863500032.000000          0.000000
     PR073      3047.000000          0.000000
     EV073   6922180.500000          0.000000
     DM073  13392000.000000          0.000000
     QJ073  19302402.000000          0.000000
     QM093 249617696.000000          0.000000
     RT083  13392000.000000          0.000000
     DM093  10713600.000000          0.000000
     QJ093 250501568.000000          0.000000
     QM043 152174400.000000          0.000000
     RT033  13392000.000000          0.000000
     RT023  13392000.000000          0.000000
     SF043 ****************          0.000000
     SI043 ****************          0.000000
     PR043      5431.000000          0.000000
     EV043  10540794.000000          0.000000
     DM043  13392000.000000          0.000000
     QJ043 476893696.000000          0.000000
     QM103 256929728.000000          0.000000
     RT093   6428160.000000          0.000000
     SF103         0.000000          0.000000
     SI103         0.000000          0.000000
     PR103         0.000000          0.000000
     EV103         0.000000          0.000000
     DM103  13392000.000000          0.000000
     QJ103 301042976.000000          0.000000
     QM053 490285696.000000          0.000000
     RT043  13392000.000000          0.000000
     SF053         0.000000          0.000000
     SI053         0.000000          0.000000
     PR053         0.000000          0.000000
     EV053         0.000000          0.000000
     DM053  13392000.000000          0.000000
     QJ053 514203808.000000          0.000000
     QM113 874725184.000000          0.000000
     RT073  13392000.000000          0.000000
     RT103  13392000.000000          0.000000
     RT053  13392000.000000          0.000000
     DM113  13392000.000000          0.000000
     QJ113 966513920.000000          0.000000
     QM133 ****************          0.000000
     RT123  13392000.000000          0.000000
     RT113  13392000.000000          0.000000
     DM133  13392000.000000          0.000000
     QJ133 ****************          0.000000
     QM173 ****************          0.000000
     RT163  13392000.000000          0.000000
     RT133  13392000.000000          0.000000
     SF173         0.000000          0.000000
     SI173         0.000000          0.000000
     PR173         0.000000          0.000000
     EV173         0.000000          0.000000
     DM173  13392000.000000          0.000000
     QJ173 ****************          0.000000
     QM183 ****************          0.000000
     RT173  13392000.000000          0.000000
     DM183 ****************          0.000000
     QJ183         0.000000          0.000000
     QM154         0.000000          0.000000
     DM154         0.000000          0.000000
     QJ154  94530240.000000          0.000000
     QM144         0.000000          0.000000
     DM144         0.000000          0.000000
     QJ144  59719680.000000          0.000000
     QM084         0.000000          0.000000
     SF084         0.000000          0.000000
     SI084         0.000000          0.000000
     PR084     19143.000000          0.000000
     EV084     13030.000000          0.000000
     DM084  12960000.000000          0.000000
     QJ084 236370592.000000          0.000000
     QM014         0.000000          0.000000
     DM014  12960000.000000          0.000000
     QJ014  27501120.000000          0.000000
     QM064         0.000000          0.000000
     DM064         0.000000          0.000000
     QJ064  20347200.000000          0.000000
     QM034         0.000000          0.000000
     DM034         0.000000          0.000000
     QJ034 102565440.000000          0.000000
     QM124         0.000000          0.000000
     SF124 ****************          0.000000
     SI124 ****************          0.000000
     PR124     19261.000000          0.000000
     EV124  15683154.000000          0.000000
     DM124  12960000.000000          0.000000
     QJ124         0.000000          0.000000
     QM164 180169920.000000          0.000000
     RT154  12960000.000000          0.000000
     RT144  12960000.000000          0.000000
     SF164 ****************          0.000000
     SI164 ****************          0.000000
     PR164     17161.000000          0.000000
     EV164  10718814.000000          0.000000
     DM164  12960000.000000          0.000000
     QJ164         0.000000          0.000000
     QM024  40461120.000000          0.000000
     RT014  12960000.000000          0.000000
     SF024 557776128.000000          0.000000
     SI024 660000000.000000          0.000000
     PR024         0.000000          0.000000
     EV024   4883164.500000          0.000000
     DM024  12960000.000000          0.000000
     QJ024 179714464.000000          0.000000
     QM074  33307200.000000          0.000000
     RT064  12960000.000000          0.000000
     SF074 762809152.000000          0.000000
     SI074 863500032.000000          0.000000
     PR074     13419.000000          0.000000
     EV074   6517137.000000          0.000000
     DM074  12960000.000000          0.000000
     QJ074 118914848.000000          0.000000
     QM094 249330592.000000          0.000000
     RT084  12960000.000000          0.000000
     DM094  10368000.000000          0.000000
     QJ094 329527072.000000          0.000000
     QM044 308199904.000000          0.000000
     RT034  12960000.000000          0.000000
     RT024  12960000.000000          0.000000
     SF044 ****************          0.000000
     SI044 ****************          0.000000
     PR044     22822.000000          0.000000
     EV044  10538254.000000          0.000000
     DM044  12960000.000000          0.000000
     QJ044         0.000000          0.000000
     QM104 335747872.000000          0.000000
     RT094   6220800.000000          0.000000
     SF104         0.000000          0.000000
     SI104         0.000000          0.000000
     PR104         0.000000          0.000000
     EV104         0.000000          0.000000
     DM104  12960000.000000          0.000000
     QJ104 511174432.000000          0.000000
     QM054  12960000.000000          0.000000
     RT044  12960000.000000          0.000000
     SF054         0.000000          0.000000
     SI054         0.000000          0.000000
     PR054         0.000000          0.000000
     EV054         0.000000          0.000000
     DM054  12960000.000000          0.000000
     QJ054  46526400.000000          0.000000
     QM114 715495680.000000          0.000000
     RT074  12960000.000000          0.000000
     RT104  12960000.000000          0.000000
     RT054  12960000.000000          0.000000
     DM114  12960000.000000          0.000000
     QJ114 871637760.000000          0.000000
     QM134 897557760.000000          0.000000
     RT124  12960000.000000          0.000000
     RT114  12960000.000000          0.000000
     DM134  12960000.000000          0.000000
     QJ134 ****************          0.000000
     QM174 ****************          0.000000
     RT164  12960000.000000          0.000000
     RT134  12960000.000000          0.000000
     SF174         0.000000          0.000000
     SI174         0.000000          0.000000
     PR174         0.000000          0.000000
     EV174         0.000000          0.000000
     DM174  12960000.000000          0.000000
     QJ174 ****************          0.000000
     QM184 ****************          0.000000
     RT174  12960000.000000          0.000000
     DM184 ****************          0.000000
     QJ184         0.000000          0.000000
     QM155         0.000000          0.000000
     DM155         0.000000          0.000000
     QJ155  78075360.000000          0.000000
     QM145         0.000000          0.000000
     DM145         0.000000          0.000000
     QJ145  48639744.000000          0.000000
     QM085         0.000000          0.000000
     SF085         0.000000          0.000000
     SI085         0.000000          0.000000
     PR085      1274.000000          0.000000
     EV085     12120.000000          0.000000
     DM085  13392000.000000          0.000000
     QJ085 138757056.000000          0.000000
     QM015         0.000000          0.000000
     DM015         0.000000          0.000000
     QJ015  20061216.000000          0.000000
     QM065         0.000000          0.000000
     DM065         0.000000          0.000000
     QJ065  16498944.000000          0.000000
     QM035         0.000000          0.000000
     DM035         0.000000          0.000000
     QJ035  61201440.000000          0.000000
     QM125         0.000000          0.000000
     SF125 ****************          0.000000
     SI125 ****************          0.000000
     PR125       515.000000          0.000000
     EV125  12050335.000000          0.000000
     DM125  13392000.000000          0.000000
     QJ125         0.000000          0.000000
     QM165 153499104.000000          0.000000
     RT155  13392000.000000          0.000000
     RT145  13392000.000000          0.000000
     SF165 ****************          0.000000
     SI165 ****************          0.000000
     PR165         0.000000          0.000000
     EV165   9124424.000000          0.000000
     DM165  13392000.000000          0.000000
     QJ165         0.000000          0.000000
     QM025  33453216.000000          0.000000
     RT015  13392000.000000          0.000000
     SF025 592241600.000000          0.000000
     SI025 557776128.000000          0.000000
     PR025         0.000000          0.000000
     EV025   3460673.250000          0.000000
     DM025  13392000.000000          0.000000
     QJ025         0.000000          0.000000
     QM075  29890944.000000          0.000000
     RT065  13392000.000000          0.000000
     SF075  89054664.000000          0.000000
     SI075 762809152.000000          0.000000
     PR075       454.000000          0.000000
     EV075   2565961.500000          0.000000
     DM075  13392000.000000          0.000000
     QJ075 691625152.000000          0.000000
     QM095 152149056.000000          0.000000
     RT085  13392000.000000          0.000000
     DM095  10713600.000000          0.000000
     QJ095 151024128.000000          0.000000
     QM045  87985440.000000          0.000000
     RT035  13392000.000000          0.000000
     RT025  13392000.000000          0.000000
     SF045 ****************          0.000000
     SI045 ****************          0.000000
     PR045       457.000000          0.000000
     EV045   8890620.000000          0.000000
     DM045  13392000.000000          0.000000
     QJ045  88255408.000000          0.000000
     QM105 157452288.000000          0.000000
     RT095   6428160.000000          0.000000
     SF105         0.000000          0.000000
     SI105         0.000000          0.000000
     PR105         0.000000          0.000000
     EV105         0.000000          0.000000
     DM105  13392000.000000          0.000000
     QJ105 204217152.000000          0.000000
     QM055 101647408.000000          0.000000
     RT045  13392000.000000          0.000000
     SF055         0.000000          0.000000
     SI055         0.000000          0.000000
     PR055         0.000000          0.000000
     EV055         0.000000          0.000000
     DM055  13392000.000000          0.000000
     QJ055 118226704.000000          0.000000
     QM115 ****************          0.000000
     RT075  13392000.000000          0.000000
     RT105  13392000.000000          0.000000
     RT055  13392000.000000          0.000000
     DM115  13392000.000000          0.000000
     QJ115 ****************          0.000000
     QM135 ****************          0.000000
     RT125  13392000.000000          0.000000
     RT115  13392000.000000          0.000000
     DM135  13392000.000000          0.000000
     QJ135 ****************          0.000000
     QM175 ****************          0.000000
     RT165  13392000.000000          0.000000
     RT135  13392000.000000          0.000000
     SF175         0.000000          0.000000
     SI175         0.000000          0.000000
     PR175         0.000000          0.000000
     EV175         0.000000          0.000000
     DM175  13392000.000000          0.000000
     QJ175 ****************          0.000000
     QM185 ****************          0.000000
     RT175  13392000.000000          0.000000
     DM185 ****************          0.000000
     QJ185         0.000000          0.000000
     QM156         0.000000          0.000000
     DM156         0.000000          0.000000
     QJ156  67858560.000000          0.000000
     QM146         0.000000          0.000000
     DM146         0.000000          0.000000
     QJ146  42249600.000000          0.000000
     QM086         0.000000          0.000000
     SF086  38694808.000000          0.000000
     SI086         0.000000          0.000000
     PR086         0.000000          0.000000
     EV086    126994.421875          0.000000
     DM086  12960000.000000          0.000000
     QJ086  50991000.000000          0.000000
     QM016         0.000000          0.000000
     DM016         0.000000          0.000000
     QJ016  14230080.000000          0.000000
     QM066         0.000000          0.000000
     DM066         0.000000          0.000000
     QJ066  12312000.000000          0.000000
     QM036         0.000000          0.000000
     DM036         0.000000          0.000000
     QJ036  45048960.000000          0.000000
     QM126         0.000000          0.000000
     SF126 ****************          0.000000
     SI126 ****************          0.000000
