'PC   1'
  ,3400       ,5000       2,860       2,220       1,180       ,5800      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,1800    
  ,3100       ,7800       57,13       104,2       12,74       ,7700      3,0000E-02   ,0000       ,0000       ,0000       ,0000       ,7200    
  2,870       54,14       76,50       123,4       19,38       1,340       ,6000      1,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       2,830       104,2       21,53       11,59       1,190       ,1200       ,0000       ,0000       ,0000       ,0000    
  ,0000       1,050       ,8500       1,540       ,6200       ,2100       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       4,420       70,93       73,93       32,07       1,480       ,6400       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       14,09       50,01       71,82       1,360       ,3800       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       1,440       4,600       1,650       1,390       1,200       ,3700       ,0000       ,0000       ,0000       ,0000    
  ,9800      8,0000E-02   1,000       1,910       ,6300       ,1200       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       1,110       28,90       13,79       1,750       1,960       ,4100       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,2200       ,3700       ,8400       ,3200      1,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       2,170       2,830       40,24       59,17       1,720       1,170       ,1500       ,0000       ,0000       ,0000       ,0000    
  3,320       37,02       147,8       189,4       94,18       16,80       1,060      9,0000E-02   ,0000       ,0000       ,0000       ,0000    
  ,0000       ,3000       1,870       2,060       34,49       2,580       1,430       ,4100       ,0000       ,0000       ,0000       ,0000    
  ,0000       4,450       47,93       23,01       1,420       ,6600      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,8400       1,510       1,950       75,51       43,29       1,670       1,330       ,4200       ,0000       ,0000       ,0000       ,0000    
  ,0000       2,720       1,010       2,070       1,130       ,5500      2,0000E-02   ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       ,0000       ,4800       ,2900       2,310       ,4900       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
  ,0000       2,470       79,90       1,450       ,8000       ,1200       ,0000       ,0000       ,0000       ,0000       ,0000       ,0000    
